id,Name,Type,Network_Device,Fiber_Switch,Blade_Chassis,Virtual_Host,In_Service,Service_Level,Serial_no,Asset_no,UUID,Profile_to_auto_assign_asset_no,Hardware,Customer,Device_Virtual_Host,Blade_slot_no,Blade_slot_no,Device_Host_Chassis,Notes,Device_Subtype,Virtual_Subtype,Additional_Location_Info,Building,Room,Rack,First_added,Last_updated,Storage_Room,live_id,Discovery_spec
323,TXARL1-pcosd044,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004B9,34000803B9B30400000002BD,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
324,TXARL1-pcosd045,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004B4,34000803B9B30400000002BE,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:19,9/14/2016 16:38:30,None,None,None
325,TXARL1-pcosd046,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004BB,34000803B9B30400000002BF,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:30,None,None,None
326,TXARL1-pcosd047,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004B7,34000803B9B3040000000001,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:30,None,None,None
327,TXARL1-pcosd048,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51004B8,34000803B9B30400000002D7,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
328,TXARL1-pcosd049,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046B,34000803B9B30400000002D6,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
329,TXARL1-pcosd050,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ5100466,34000803B9B30400000002D1,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
330,TXARL1-pcosd051,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046C,34000803B9B30400000002D2,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
331,TXARL1-pcosd052,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510046G,34000803B9B3040000000002,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
332,TXARL1-pcosd053,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51203L9,34000803B9B304000000007A,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
333,TXARL1-pcosd054,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ511007T,34000803B9B30400000002CA,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:20,9/14/2016 16:38:31,None,None,None
334,TXARL1-pcrgw002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50802G6,34000803B9B30400000002EC,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:31,None,None,None
335,TXARL1-pes003,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50901KZ,34000803B9B30400000002E0,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:31,None,None,None
336,TXARL1-pes004,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50901KT,34000803B9B30400000002E1,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:31,None,None,None
337,TXARL1-pes005,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50901LM,34000803B9B30400000002E2,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:31,None,None,None
338,TXARL1-pkeyproxy001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905W1,34000803B9B30400000002E3,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:32,None,None,None
339,TXARL1-pkeyproxy002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905W9,34000803B9B30400000002E4,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:32,None,None,None
340,TXARL1-pqforeman001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905VJ,34000803B9B30400000002D8,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:32,None,None,None
341,TXARL1-pqforeman002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905W6,34000803B9B30400000002DA,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:32,None,None,None
342,TXARL1-psldcol001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905VT,34000803B9B30400000002E5,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:21,9/14/2016 16:38:32,None,None,None
343,TXARL1-psldcol002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905VN,34000803B9B30400000002E6,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
344,TXARL1-pslmcol001,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ50905WC,34000803B9B30400000002E7,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
345,TXARL1-pslmcol002,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ508029B,34000803B9B30400000002E8,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
346,TXARL1-pworker097,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510040K,E2009054990E016506011573,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
